ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
BRB,NGDP_R,Barbados,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. The National Statistics Office is the primary source of National Accounts Data. Partial data is published on the central bank website. Latest actual data: 2015. Nominal national accounts is 2014 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 1974. Constant price GDP is based on 1974 as base year, compiled by the Central bank of Barbados (CBB). Currently, the Barbados Statistical Services (BSS) ,with the assistance of CARTAC, began compiling constant price GDP by industry using 2010 as base year. Real and nominal GDP data generate inconsistency in the deflator because over time, they were produced by two separates institutions. GDP series provided by the authorities include statistical discrepancies. Chain-weighted: No Primary domestic currency: Barbados dollar Data last updated: 08/2017",0.807,0.791,0.753,0.756,0.784,0.792,0.833,0.854,0.884,0.916,0.886,0.851,0.803,0.809,0.825,0.842,0.876,0.917,0.951,0.954,0.997,0.973,0.981,1.002,1.016,1.057,1.117,1.136,1.141,1.095,1.098,1.106,1.109,1.108,1.109,1.119,1.137,1.147,1.153,1.162,1.177,1.195,1.215,2015
BLR,NGDP_R,Belarus,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2016 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian rubel Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,36.31,33.55,29.625,26.341,27.072,30.167,32.714,33.811,35.759,37.449,39.338,42.108,46.93,51.36,56.495,61.38,67.671,67.782,73.028,77.077,78.411,79.214,80.579,77.493,75.441,75.995,76.495,77.195,78.393,79.861,81.487,2016
BEL,NGDP_R,Belgium,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series. Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010. ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 08/2017",216.837,216.231,217.518,218.196,223.578,227.271,231.413,236.751,247.933,256.535,264.583,269.433,273.557,270.926,279.669,286.338,290.901,301.694,307.653,318.617,330.193,332.873,338.801,341.424,353.834,361.245,370.273,382.854,385.714,376.9,387.058,394.013,394.552,394.305,400.797,406.714,411.565,418.346,425.195,431.597,438.157,444.725,451.388,2016
BLZ,NGDP_R,Belize,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Belize dollar Data last updated: 09/2017,0.462,0.463,0.428,0.454,0.505,0.498,0.535,0.652,0.723,0.835,0.928,1.035,1.16,1.233,1.234,1.242,1.26,1.305,1.354,1.472,1.664,1.748,1.837,2.008,2.102,2.156,2.255,2.28,2.353,2.372,2.451,2.502,2.596,2.615,2.722,2.801,2.779,2.848,2.913,2.962,3.01,3.06,3.111,2015
BEN,NGDP_R,Benin,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2017,1175.3,1197.97,1218.12,1193.76,1198.53,1250.39,1284.75,1258.1,1301.22,1264.15,1377.62,1435.84,1478.3,1564.58,1596.19,1692.68,1765.88,1867.15,1941.11,2044.79,2144.2,2258.6,2363.4,2444.9,2553.1,2597,2699.3,2860.8,3001,3070.8,3135.6,3228.4,3383.8,3627.3,3857.7,3938.6,4097.2,4318.48,4578.97,4866.37,5190.46,5556.59,5898.65,2015
BTN,NGDP_R,Bhutan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2015/16 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: July/June Base year: 2000. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Bhutanese ngultrum Data last updated: 08/2017",4.605,5.23,5.659,6.074,6.537,6.821,7.364,8.853,10.188,10.819,11.804,12.382,12.64,13.043,13.334,14.137,14.981,15.812,16.762,17.949,19.194,20.545,22.5,24.552,26.209,27.919,29.868,33.623,37.238,39.369,43.041,47.225,50.26,52.055,54.118,57.434,61.015,64.609,71.852,81.721,88.622,93.218,99.044,2016
BOL,NGDP_R,Bolivia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015 National accounts manual used: Other GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Bolivian boliviano Data last updated: 09/2017,15.258,15.303,14.701,14.106,14.078,13.842,13.486,13.818,14.22,14.759,15.443,16.256,16.524,17.23,18.034,18.877,19.701,20.677,21.717,21.809,22.356,22.733,23.298,23.929,24.928,26.03,27.279,28.524,30.278,31.294,32.586,34.281,36.037,38.487,40.588,42.56,44.374,46.238,48.088,49.915,51.762,53.677,55.663,2015
BIH,NGDP_R,Bosnia and Herzegovina,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Authorities provided revised supply-side GDP data for the period 00-10 and demand -side GDP data for the period 04-10. Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000 Primary domestic currency: Convertible marka Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.718,13.167,14.986,16.597,17.334,17.743,18.64,19.359,20.57,21.442,22.662,24.017,25.36,25.154,25.346,25.577,25.338,25.945,26.225,27.016,27.553,28.242,28.976,29.759,30.562,31.418,32.361,2016
BWA,NGDP_R,Botswana,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Botswana pula Data last updated: 07/2017,10.837,11.721,13.581,15.047,16.028,17.261,18.748,21.54,26.584,27.825,30.27,32.158,32.091,33.383,33.12,35.449,37.516,40.527,40.819,44.766,45.655,45.77,48.548,50.793,52.168,54.545,59.107,64.001,67.996,62.793,68.17,72.293,75.515,84.081,87.569,86.081,89.775,93.795,98.319,102.803,107.222,111.788,116.46,2015
BRA,NGDP_R,Brazil,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Brazilian real Data last updated: 08/2017,534.042,510.545,513.587,496.125,522.456,563.733,606.264,628.094,629.754,649.906,622.815,629.239,626.301,655.518,690.487,720.985,736.912,761.929,764.505,768.083,801.787,812.93,837.752,847.31,896.114,924.809,961.449,1019.81,1071.76,1070.41,1150.99,1196.74,1219.73,1256.38,1262.71,1215.12,1171.44,1180.2,1197.77,1221.56,1246.4,1271.77,1297.62,2016
BRN,NGDP_R,Brunei Darussalam,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Department of Economic Planning and Development, Prime Minister's office. Latest actual data: 2016 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Brunei dollar Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,13.037,12.675,12.715,12.669,12.948,13.089,13.501,14.143,14.186,14.633,15.288,15.728,15.496,15.41,15.88,16.333,16.781,17.431,17.937,18.028,18.098,18.896,18.919,18.544,18.207,18.69,19.39,19.567,19.151,18.671,18.595,18.137,17.907,18.016,19.584,21.336,23.725,24.985,2016
BGR,NGDP_R,Bulgaria,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1996 Primary domestic currency: Bulgarian lev Data last updated: 09/2017",57.269,60.304,62.837,64.722,67.699,68.918,72.57,75.981,77.805,77.416,70.371,62.802,57.511,50.825,48.962,48.178,44.303,43.574,45.692,45.467,47.743,49.543,52.484,55.19,58.742,62.927,67.252,72.192,76.539,73.794,74.771,76.203,76.227,76.884,77.906,80.724,83.503,86.509,89.277,91.866,94.346,96.705,99.123,2016
BFA,NGDP_R,Burkina Faso,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. The ministry of economy also provides estimates Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1999 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2017,837.103,859.375,871.406,860.949,874.725,973.568,1051.02,1048.54,1109.3,1133.16,1126.33,1228.48,1231.34,1273.96,1290.72,1364.5,1514.79,1610.48,1728.17,1854.9,1889.9,2014.8,2102.5,2266.7,2368.2,2573.4,2734.3,2846.63,3011.74,3100.94,3362.86,3585.71,3817.08,4033.11,4201.79,4371.26,4628.05,4923.52,5245.39,5583.91,5947.06,6332.09,6711.75,2016
BDI,NGDP_R,Burundi,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015. No official national accounts data have been published since 1998. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Burundi franc Data last updated: 08/2017,765.621,858.749,849.697,881.267,882.635,986.646,1018.71,1074.77,1128.84,1144.07,1183.64,1252.07,1264.68,1185.81,1140.4,1050.09,966.07,970.063,1016.16,1027.99,1046.3,1063.72,1088.75,1115.64,1157.65,1208.24,1273.66,1317.62,1381.68,1434.36,1507.86,1568.67,1638.42,1735.82,1813.83,1742.07,1723.92,1723.94,1726.51,1733.74,1742.41,1751.12,1759.88,2015
CPV,NGDP_R,Cabo Verde,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 Notes: The national accounts data have been revised from 2002 onward. The new data are obtained through a new computation methodology that uses an updated input-output table. The base year for the constant prices data is 2007. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2011 Primary domestic currency: Cabo Verde escudo Data last updated: 09/2017",23.91,25.93,26.662,29.201,30.305,32.924,33.87,35.329,37.448,39.582,39.856,40.415,41.646,44.69,47.787,51.367,54.805,58.992,63.955,71.54,76.739,81.449,85.752,92.185,96.727,102.347,111.679,121.974,130.086,128.433,130.317,135.489,136.955,138.054,138.898,140.297,145.652,151.46,157.688,164.211,170.933,178.01,185.38,2016
KHM,NGDP_R,Cambodia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 08/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6260.58,6862.6,7090.92,7170.19,7714.55,8259.91,8593.78,9296.87,9895.86,10431.46,11017.69,11569.57,12947.47,14082.64,15230.15,16232.13,17612.82,19434.07,22009.11,24379.73,26869.52,28667.52,28692.37,30403.32,32587.04,34951.09,37552.47,40206.31,43100.06,46135.18,49340.14,52674.92,56252.75,59913.62,63688.55,67515.3,2016
