country_name,iso,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,AUS,1.98E+11,2.03E+11,2.06E+11,2.19E+11,2.34E+11,2.48E+11,2.54E+11,2.70E+11,2.84E+11,3.04E+11,3.25E+11,3.38E+11,3.52E+11,3.61E+11,3.76E+11,3.81E+11,3.90E+11,4.05E+11,4.08E+11,4.25E+11,4.38E+11,4.52E+11,4.67E+11,4.57E+11,4.78E+11,5.03E+11,5.24E+11,5.37E+11,5.68E+11,5.91E+11,6.11E+11,6.09E+11,6.12E+11,6.37E+11,6.62E+11,6.88E+11,7.15E+11,7.44E+11,7.77E+11,8.15E+11,8.47E+11,8.63E+11,8.97E+11,9.24E+11,9.62E+11,9.93E+11,1.02E+12,1.06E+12,1.10E+12,1.12E+12,1.14E+12,1.17E+12,1.21E+12,1.24E+12,1.28E+12,1.31E+12,1.34E+12
Austria,AUT,92232299993,97340105690,99918328845,1.04E+11,1.10E+11,1.14E+11,1.21E+11,1.24E+11,1.30E+11,1.38E+11,1.46E+11,1.53E+11,1.63E+11,1.71E+11,1.77E+11,1.77E+11,1.85E+11,1.94E+11,1.94E+11,2.04E+11,2.08E+11,2.07E+11,2.12E+11,2.18E+11,2.18E+11,2.23E+11,2.29E+11,2.32E+11,2.39E+11,2.49E+11,2.59E+11,2.68E+11,2.74E+11,2.75E+11,2.82E+11,2.90E+11,2.96E+11,3.03E+11,3.14E+11,3.25E+11,3.36E+11,3.41E+11,3.46E+11,3.49E+11,3.58E+11,3.66E+11,3.78E+11,3.92E+11,3.98E+11,3.83E+11,3.90E+11,4.01E+11,4.04E+11,4.05E+11,4.07E+11,4.11E+11,4.17E+11
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22325675015,22169395298,17159111874,13195357108,10595871755,9345558793,9467051076,10016140088,11017754125,11833067994,13146538453,14448045760,15979538495,17769246844,19581710093,24751281716,33290473787,41629404407,46113899019,50453518393,52902703376,52937578302,54102205125,57238335961,58383102680,59025316699,57195531762
Burundi,BDI,596608253.7,514597677.4,561236477.6,584445892.5,621108404.9,645749176.6,675537540.2,768907087,766616638.4,755427553.1,916527545.7,941702987.5,881396658.5,942116521.3,935268845.7,941796276.2,1016599962,1133198417,1122539825,1141229607,1152539828,1292726424,1279106260,1326629241,1328692733,1485254992,1533528459,1617920004,1699317954,1722250288,1782525984,1871595893,1890498980,1772531844,1704643875,1569636080,1444065193,1421104557,1488607023,1473572092,1460945583,1490979806,1557276512,1538219684,1612571959,1627085107,1714698066,1796760634,1887463245,1952928500,2026864469,2111823041,2196704928,2297622744,2404713060,2310810954,2297241392
Belgium,BEL,1.21E+11,1.27E+11,1.33E+11,1.39E+11,1.49E+11,1.54E+11,1.59E+11,1.65E+11,1.72E+11,1.83E+11,1.94E+11,2.02E+11,2.13E+11,2.26E+11,2.36E+11,2.32E+11,2.45E+11,2.46E+11,2.53E+11,2.59E+11,2.71E+11,2.70E+11,2.72E+11,2.73E+11,2.79E+11,2.84E+11,2.89E+11,2.96E+11,3.10E+11,3.20E+11,3.31E+11,3.37E+11,3.42E+11,3.38E+11,3.49E+11,3.58E+11,3.63E+11,3.77E+11,3.84E+11,3.98E+11,4.13E+11,4.16E+11,4.23E+11,4.27E+11,4.42E+11,4.51E+11,4.63E+11,4.78E+11,4.82E+11,4.71E+11,4.84E+11,4.92E+11,4.93E+11,4.93E+11,5.01E+11,5.08E+11,5.14E+11
Benin,BEN,1265426253,1305176841,1260456133,1320076061,1407871140,1482401907,1535410564,1551968411,1611600246,1657974011,1692754286,1667416432,1774570741,1840339266,1901793939,1808694556,1824689861,1915626267,1939668872,2066440730,2206581861,2426230120,2480457973,2372612057,2560756387,2753589661,2813373992,2771173299,2865538547,2783751478,3033624751,3161819648,3255337130,3445324207,3514933553,3727418268,3888602421,4111601652,4274462693,4502780954,4766643562,5020725248,5253911327,5434858389,5675602454,5772744796,6000595826,6359822427,6671033591,6825749998,6970240895,7176751732,7521973830,8063036668,8575645914,8755259214,9103831278
Burkina Faso,BFA,1120811787,1166136608,1237606774,1221913718,1249807799,1296857381,1303829456,1418870435,1462440739,1492070973,1493816989,1514929700,1549947281,1556911619,1685923956,1736474411,1884680679,1891660661,1978825073,2051341523,2067688230,2155674637,2361804485,2369975968,2327821284,2526090319,2727049967,2720604944,2878280133,2940170849,2922443722,3187508913,3194926589,3305515297,3348983063,3540423456,3930392032,4178668401,4484033772,4816039657,4903703229,5228004716,5455579987,5881248337,6144638535,6676878621,7094394431,7495582799,8042347948,8280563450,8979966766,9565619495,10182857809,10469470948,10907717217,11343810190,12008749185
Bangladesh,BGD,17862545311,18944687033,19977746684,19886669278,22064814113,22419232005,22994691543,22563342421,24704480424,25006087027,26411392182,24964184430,21475757025,22189972024,24318424444,23324235189,24644704391,25303471152,27093397642,28394323598,28626913391,30697768187,31352959199,32569782093,34134209698,35274979988,36747139851,38133389635,39054790277,40162611478,42420657180,43899113723,46288404443,48469311189,50354828680,52933639391,55327785139,57811945427,60804885377,63644568604,67013463193,70415929567,73115059421,76580396942,80592852042,85860356478,91588846354,98053769823,1.04E+11,1.09E+11,1.15E+11,1.23E+11,1.31E+11,1.39E+11,1.47E+11,1.57E+11,1.68E+11
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,28567898147,29967771396,30667388676,31719373923,32796704576,33676784708,35093769776,37218526924,41291980086,39933522638,36292632791,33227591027,30811151715,30355080478,30906939254,31790936267,32299591235,31944295760,33062346058,31207548452,32771342925,34163477850,36219477716,38058529755,40553482000,43488010218,46424813785,49988081047,52810910666,50582434410,50610031136,51579222347,51595182819,52039981143,52731514288,54639046567,56520013256
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,7624221103,7218864342,6673391236,7098911806,7454116226,7099429359,7183415176,7930419191,8485547872,8516435872,8894395056,9893235512,10555092806,11913533954,11883749942,12350780310,12858398136,13256108363,13891076324,14488392461,15256276507,15636315476,16201435104,17177401648,18376546950,19620444334,20889606053,22621864900,24034629396,24645054296,25713271277,26223377132,27202099524,28675502255,29922841391,30779223484,
"Bahamas, The",BHS,1521943428,1684290616,1860332198,2056114586,2272038840,2508912442,2736519190,2999173418,3251756712,3543818528,3343605202,3397989232,3279150134,3527302077,2936329807,2501661197,2631376957,2872277655,3279552844,4136804861,4405502000,3999032539,4266923640,4420407097,5046829556,5290550046,5385621242,5546356150,5674460763,6056200453,5959528408,5710313765,5491860988,5508765317,5682231720,5931042521,6181541921,6309020120,6606583402,7078566305,7372273462,7565841874,7770469866,7672193266,7739929850,8002723121,8204140766,8322815484,8129378906,7789496094,7910000000,7958407552,8203535156,8204565104,8161307292,8026384115,8046983073
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758501862,3332270265,6296580077,8461947180,9782010632,10721083632,11310743279,11808415927,12434262003,12931632491,13720462044,14922131713,15724715108,16625545812,17536876414,17033588881,17164279813,17320174037,17158544322,17569352814,17759431367,18295041850,18658686734
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31616193390,31236799070,28238066359,26091973316,23039212438,20643134344,21221142106,23640352306,25626141900,26497430724,28034281706,29358987304,30840226695,33012363282,36792194012,40250660249,44275726274,48083438734,52987949485,53093925384,57231904543,60404676195,61450517457,62079761418,63149449098,60731096387,59122306886
Belize,BLZ,98735541.37,103565957.8,108633079.9,114017407,119718140.4,125620892.3,131614070.5,138080431.9,148253128.7,155823489.1,163315004.6,169781366,187130141.8,197145148.9,223878001.8,231921545.4,231842643.5,246904519.4,266461350.3,286491307.3,329942063.3,334200426.6,333254117.3,326235727.9,332623244.5,336171833.1,351549202.5,390978186.6,427095173.7,483005526.3,534342136.1,590432257.2,661495254.2,703014425.5,704124757.2,708659134.6,718783908.2,744266083.4,772108754.6,839902771.3,949415695.7,997035187.5,1048069026,1145817581,1199103461,1230025246,1286391895,1300597659,1342587389,1352161618,1397113450,1426508030,1481068378,1500530789,1561767961,1597679507,1585237025
Bermuda,BMU,1236024651,1293870605,1351706621,1366169881,1517951355,1590205840,1818617224,2060039383,2103408633,2175690717,2313026676,2392536968,2435906218,2472047260,2493731885,2587698594,2819001261,2985250054,3028619304,3093673179,3339432263,3418942555,3238237346,3303291222,3319193280,3252693763,3469540014,3599647764,3745657573,3762282453,3763005273,3630006240,3627837777,3736983723,3759391169,3924772345,4026835110,4212069525,4376340237,4524376453,4945919646,5303135528,5224766301,5402967730,5528385008,5620941625,5932559093,6101393206,6194616021,5867281537,5744414000,5552579616,5284137924,5151445060,,,
Bolivia,BOL,4818838338,4919069386,5193072636,5526504333,5791475876,6117247421,6514703077,6964795309,6117247421,6306638236,6275431642,6593177852,7118488340,7527029871,7748292042,8314771041,8698461749,9130881079,9318310167,9330735579,9202739038,9228103327,8864632533,8506313290,8489243522,8346930939,8132091172,8332423561,8574855876,8899853935,9312432285,9802873592,9964277909,10389682313,10874596451,11383340206,11879806409,12468356817,13095434713,13151337215,13481147871,13708143322,14048868235,14429780796,15031978202,15696607066,16449574692,17200380150,18257962323,18870882348,19649631308,20672216340,21731104040,23207952414,24475238844,25664047182,26758341469
Brazil,BRA,2.47E+11,2.73E+11,2.87E+11,2.89E+11,3.00E+11,3.09E+11,3.22E+11,3.37E+11,3.76E+11,4.12E+11,4.49E+11,4.99E+11,5.59E+11,6.38E+11,6.95E+11,7.32E+11,8.03E+11,8.40E+11,8.67E+11,9.26E+11,1.01E+12,9.66E+11,9.72E+11,9.38E+11,9.88E+11,1.07E+12,1.15E+12,1.19E+12,1.19E+12,1.23E+12,1.19E+12,1.21E+12,1.21E+12,1.26E+12,1.33E+12,1.39E+12,1.42E+12,1.47E+12,1.47E+12,1.48E+12,1.54E+12,1.56E+12,1.61E+12,1.63E+12,1.72E+12,1.77E+12,1.85E+12,1.96E+12,2.06E+12,2.05E+12,2.21E+12,2.30E+12,2.34E+12,2.41E+12,2.42E+12,2.33E+12,2.25E+12
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,3268655033,3206550744,3049429498,3064676627,3175005115,3209930429,3373636874,3461351326,3582498740,3711468635,3588990350,3449019426,3252424741,3278444159,3344013047,3411671173,3546987427,3715119898,3854082398,3866641691,4038825547,3943212864,3974408528,4060703025,4117827551,4281098360,4523776312,4603588593,4621819825,4435050984,4446800000,4480426494,4493796064,4490554956,4493390926,4533904774,4604804009
Brunei Darussalam,BRN,,,,,,,,,,,,,,,7076283755,7101437330,8532760029,9464255592,10105537880,12385592666,11519009534,9235168243,9600571984,9648715585,9706595966,9561894976,9302244591,9489138761,9593269454,9490220609,9593609021,9895418335,10366299817,10397872754,10724927173,11205265273,11527788412,11358194866,11294758343,11639492116,11971150348,12299643564,12775897690,13146904070,13213206307,13264408434,13847739934,13869146021,13600124166,13360145141,13707370737,14220755409,14350568390,14045471214,13715438210,13637697103,13301457675
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,165165439.1,188136200.9,194559060.7,216565078.8,226271753.4,235801810.6,263462722.7,339066684.7,355976922.5,382435357.4,424030689.3,422301169.5,441730787.8,450505180.6,472811961.2,506259233.8,534433435.3,563153025.1,596458068.7,644079114,688733275.1,745235395.5,825183060.9,888427847.1,940813179.5,1007823159,1076852656,1269887377,1330440106,1419010481,1585472534,1710580807,1797336501,1835844374,1941321989,2067340394,2194821361
Botswana,BWA,205010514,218014912.6,232549242.6,246318588.1,263147815.3,278447111.1,296111848.9,313655172.9,346799292.3,399247152.8,467599334,588338659.4,743436149.3,901811720.8,981151269.3,1064021762,1177312167,1318731377,1507742529,1690911970,1893599921,2065252055,2316500951,2621045055,2845023410,3047739046,3296828452,3688555239,4405978108,4981372673,5318752174,5715462428,5882186485,5994895480,6212385254,6649141424,7036773076,7601583117,7656466027,8396635030,8563534596,8584992576,9106061350,9527298168,9785089873,10230961746,11086666195,12004283365,12754003367,11778027466,12786654366,13560031676,14164289363,15771004794,16425383641,16146162617,16614401333
Central African Republic,CAF,904890038.8,949714253.6,914443763.9,907978548.2,926867449.3,935650247.9,941683168.4,985722046.9,999562700.1,1070447114,1095419370,1107799826,1107790219,1128715711,1200265380,1205126300,1270595015,1318956846,1334906139,1301998864,1243687037,1224478717,1318956846,1211771638,1326668513,1378769698,1428101792,1357568017,1380784674,1408086521,1377847468,1370234268,1282209347,1286508284,1349546539,1446714504,1388844579,1462452453,1531189801,1586312249,1546822078,1615883646,1674322760,1583951437,1678907492,1694155506,1774985113,1856768170,1894908620,1927297142,1986014846,2051567618,2135944447,1352053851,1366115455,1431687441,1496561293
Canada,CAN,3.16E+11,3.26E+11,3.50E+11,3.68E+11,3.92E+11,4.18E+11,4.46E+11,4.59E+11,4.83E+11,5.09E+11,5.25E+11,5.47E+11,5.77E+11,6.17E+11,6.40E+11,6.51E+11,6.85E+11,7.09E+11,7.37E+11,7.65E+11,7.81E+11,8.09E+11,7.83E+11,8.03E+11,8.51E+11,8.91E+11,9.10E+11,9.48E+11,9.90E+11,1.01E+12,1.01E+12,9.93E+11,1.00E+12,1.03E+12,1.07E+12,1.10E+12,1.12E+12,1.17E+12,1.21E+12,1.28E+12,1.34E+12,1.37E+12,1.41E+12,1.43E+12,1.48E+12,1.52E+12,1.56E+12,1.60E+12,1.61E+12,1.57E+12,1.61E+12,1.66E+12,1.69E+12,1.74E+12,1.78E+12,1.80E+12,1.82E+12
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,3.44E+11,3.50E+11,3.45E+11,3.48E+11,3.58E+11,3.71E+11,3.78E+11,3.84E+11,3.97E+11,4.14E+11,4.29E+11,4.25E+11,4.25E+11,4.24E+11,4.30E+11,4.32E+11,4.34E+11,4.44E+11,4.58E+11,4.65E+11,4.83E+11,4.90E+11,4.91E+11,4.91E+11,5.05E+11,5.21E+11,5.42E+11,5.64E+11,5.77E+11,5.65E+11,5.81E+11,5.92E+11,5.98E+11,6.09E+11,6.21E+11,6.26E+11,6.34E+11
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,29375692257,30916527184,32161438540,34039711621,34910182119,35241923981,39201792005,40619328747,42078380450,43735420036,44535326423,48731750486,48234712071,45808868608,46900104265,40844315409,42409708110,46839269115,50446409757,54693142234,59061276084,62915243091,55985566287,53176534993,55358731549,57578570294,60674968648,64594855902,69339419416,76220235503,78761086957,84907911074,94389329346,1.01E+11,1.06E+11,1.15E+11,1.23E+11,1.32E+11,1.38E+11,1.37E+11,1.45E+11,1.49E+11,1.54E+11,1.60E+11,1.72E+11,1.82E+11,1.93E+11,2.03E+11,2.10E+11,2.06E+11,2.19E+11,2.32E+11,2.44E+11,2.54E+11,2.59E+11,2.65E+11,2.69E+11
China,CHN,1.28E+11,93049408933,87857251924,96906548868,1.15E+11,1.34E+11,1.48E+11,1.40E+11,1.34E+11,1.57E+11,1.87E+11,2.00E+11,2.08E+11,2.24E+11,2.29E+11,2.49E+11,2.45E+11,2.64E+11,2.94E+11,3.17E+11,3.41E+11,3.59E+11,3.91E+11,4.33E+11,4.99E+11,5.66E+11,6.17E+11,6.89E+11,7.66E+11,7.98E+11,8.30E+11,9.07E+11,1.04E+12,1.18E+12,1.33E+12,1.48E+12,1.63E+12,1.78E+12,1.92E+12,2.06E+12,2.24E+12,2.42E+12,2.64E+12,2.91E+12,3.20E+12,3.57E+12,4.02E+12,4.60E+12,5.04E+12,5.51E+12,6.10E+12,6.68E+12,7.21E+12,7.77E+12,8.33E+12,8.91E+12,9.51E+12
Cote d'Ivoire,CIV,4289508128,4715565889,4773425623,5465111983,6427686956,6227808114,6948823860,7268341328,8180390870,8960736252,9890415491,10825716247,11284361249,11954561755,12471881172,13501171353,15245036304,16360128257,18144928866,18579392397,16543518825,17122624520,17157010577,16487845912,16042466089,16764573291,17310989204,17250578541,17446628600,17960956074,17764120445,17771390442,17727928620,17693804999,17837338328,19108381523,20585330896,21355953698,22408947356,22771418229,22300414202,22327480641,21955138166,21656650171,21923410906,22300767039,22638811513,23038394864,23624224724,24392355457,24884505035,23792758396,26340131050,28681616270,31203899802,34063231935,37045505519
Cameroon,CMR,4661607600,4716786155,4860249991,5042147292,5221000309,5326780580,5572609139,4964522375,5279587043,5538364921,5709614943,5908292861,6066271353,6391161482,7077205517,7873041437,7440406914,8462709264,10324759600,10947871105,10732713507,12566148852,13510646059,14438399232,15517607857,16768817666,17904345501,17520001830,16149301365,15855526111,14887435627,14320432847,13876498969,12775805832,13039422126,13577737840,14244668114,15001652351,15736037168,16375278876,17058714409,17828791021,18543555200,19291044670,20005170990,20464660331,21124441591,21812182535,22441255964,22874787500,23622483984,24600594629,25729451636,27160443493,28770233462,30431210269,31808556684
"Congo, Dem. Rep.",COD,15080239239,13443825765,16294010600,17143578705,16725237058,16892046008,18036564102,17858770717,18632537401,20370736526,20320816697,21541085411,21573641641,23329148380,24059487405,22860932521,21647245138,21811935994,20646024427,20734820555,21189931811,21688006259,21588745111,21893514222,23106650051,23214754733,24309843384,24960287874,25077696409,24760200075,23133873205,21185757829,18961251442,16407350903,15767464742,15877836811,15715379128,14832638960,14591734054,13968646460,13003283456,12730192005,13105448172,13836446785,14768798308,15674886408,16508944145,17542316526,18634483660,19166509369,20523285374,21932132984,23502004277,25500497990,27925586058,29847628747,30505858503
"Congo, Rep.",COG,1483222233,1607082068,1690687440,1622564564,1684494548,1746424446,1770158048,1807619408,1945564742,2092426187,2225472482,2398014162,2604664252,2819059087,3041356578,3276502007,3306524161,3010476902,3201935617,3516148755,4136278039,4865078750,6013125436,6365131564,6809171484,6728437803,6266764265,6278632052,6389529234,6555649104,6621205829,6779808039,6956893103,6888737589,6510334015,6769791944,7060248619,7016135328,7278367088,7090425140,7627594358,7917641406,8280417447,8347759108,8637979940,9307920845,9888362511,9731906590,10274194134,11041561163,12007880590,12418624708,12890531932,13334057141,14238098342,14614902202,14342383535
Colombia,COL,36474760531,38395292499,40494171271,41670168443,44421375307,45759563551,48195055977,50214735077,53442259223,56927194245,60887343108,64510884735,69461072436,74134053415,78391217822,80153489289,84014632970,87499571237,94905053698,1.00E+11,1.04E+11,1.06E+11,1.07E+11,1.09E+11,1.13E+11,1.16E+11,1.23E+11,1.30E+11,1.35E+11,1.40E+11,1.48E+11,1.51E+11,1.59E+11,1.63E+11,1.72E+11,1.81E+11,1.85E+11,1.91E+11,1.92E+11,1.84E+11,1.92E+11,1.96E+11,2.01E+11,2.08E+11,2.20E+11,2.30E+11,2.45E+11,2.62E+11,2.72E+11,2.76E+11,2.87E+11,3.06E+11,3.18E+11,3.34E+11,3.48E+11,3.59E+11,3.66E+11
Comoros,COM,,,,,,,,,,,,,,,,,,,,,268779448.9,279167562.6,296988568.4,311306470.2,324101988.8,331492719.4,337682390.4,343213597.9,352437527.9,341227634.2,358600873,339252208.2,368193554.4,379261222.4,359248813.6,372218160.9,367410336.4,382218224.7,387120794.4,394569477.2,437372669.8,447576296.5,457981457.4,467617854.2,476594257.6,490117180.1,503090091.1,507115580.5,509145396.1,519073731.2,530493353.2,544286180.9,560614766.1,580236282.9,592198663.1,598210181.1,611370805.1
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,193155976.6,209480674.5,215398566.5,235906125,244831092.3,265989607.4,273627380.4,285418158.6,302534271.4,319772521,321985896.5,326507051.3,362219240.8,393762420.2,469296454.8,535991160,596807529.5,663163133.2,746173157.1,829913547.9,948465609.7,969632085,1020546411,1063167076,1171578994,1252563900,1352565476,1557758965,1661358044,1640251720,1664310770,1730365372,1749086512,1763128136,1773904599,1792815240,1863071658
Costa Rica,CRI,3807870321,3771469349,4078780740,4273938635,4451266576,4888809045,5273592934,5571557575,6038733667,6375557914,6853924591,7318518240,7917029966,8527347140,9000180012,9189190186,9696209673,10559606184,11221449230,11775690516,11864231393,11595903350,10751075827,11058878343,11744717198,11867028124,12553529707,13416640068,13929074275,14634675609,15206147661,15597237611,17031647015,18238767992,19057190297,19842631677,20088247004,21206146969,22682455321,23576904805,24457392097,25311069892,26144247845,27256810103,28438822146,29539652853,31677653998,34265051869,35858239193,35510217658,37268635287,38873833296,40738579949,41662949490,43186481741,45226294453,47184044863
Cuba,CUB,,,,,,,,,,,19601031350,21283556246,22310846643,23077110112,23304302373,25512717358,26897537569,29240179372,31168861185,31508035528,29980071319,35882647994,39082746854,41197698258,44464558940,45174513258,45217566099,44131362144,45766667380,46077918811,44719281449,39937584071,35312571053,30058702950,30274202820,31018100878,33449532253,34380574916,34435290243,36566406096,38729221264,39962758543,40532156423,42069435823,44497068633,49481477439,55451844706,59478833619,61927474920,62826231727,64328000000,66130664082,68124437665,69996226460,70729490571,73868701308,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,,,,,,,,,,,,,,,,3822695810,4597414512,5349643518,5765706873,6336832968,6701406474,6870080771,7283777042,7690370711,8363885256,8772255364,9097175342,9739913596,10582102287,11423106986,12268873771,12359602270,13521404739,13616054612,14419401667,15640463782,15848953265,16255575304,17106644686,17932647298,18959184072,19641840783,20309487452,20812323859,21763510222,22574052491,23592183641,24729494525,25685033799,25229779225,25562251656,25644356585,24834564819,23356225780,22998536479,23384744860,24047588316
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44E+11,1.27E+11,1.27E+11,1.27E+11,1.31E+11,1.39E+11,1.45E+11,1.44E+11,1.43E+11,1.45E+11,1.51E+11,1.56E+11,1.59E+11,1.64E+11,1.72E+11,1.84E+11,1.96E+11,2.07E+11,2.13E+11,2.02E+11,2.07E+11,2.11E+11,2.09E+11,2.08E+11,2.14E+11,2.24E+11,2.29E+11
Germany,DEU,,,,,,,,,,,1.53E+12,1.58E+12,1.65E+12,1.73E+12,1.74E+12,1.73E+12,1.81E+12,1.88E+12,1.93E+12,2.01E+12,2.04E+12,2.05E+12,2.04E+12,2.08E+12,2.13E+12,2.18E+12,2.23E+12,2.26E+12,2.35E+12,2.44E+12,2.57E+12,2.70E+12,2.75E+12,2.73E+12,2.79E+12,2.84E+12,2.86E+12,2.92E+12,2.97E+12,3.03E+12,3.12E+12,3.18E+12,3.18E+12,3.15E+12,3.19E+12,3.21E+12,3.33E+12,3.44E+12,3.48E+12,3.28E+12,3.42E+12,3.54E+12,3.56E+12,3.58E+12,3.63E+12,3.70E+12,3.77E+12
