,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62,Region,IncomeGroup,SpecialNotes,TableName
11,Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,198403347596.226,203313761339.70602,206011053629.746,218810461305.137,234073562987.13397,248067635932.133,253933458571.875,269925645553.726,283669145945.56,303669685479.49603,325434740766.851,338462896934.326,351702827324.153,360844684021.891,375627656360.08,380634257632.03296,390496308345.481,404584143923.27704,408218254242.73206,424775441917.04297,437741359095.50604,452433801995.132,467451989213.87396,457023321210.849,478187002370.60706,503288714107.85297,523924576308.84705,537433670118.687,568480417754.417,590542118612.778,611392988230.359,609098228622.501,611756722581.728,636606245168.691,662399052173.537,688161952131.715,715336141373.205,743574859816.3671,776590622740.841,815473016603.615,847014442957.207,863362281304.841,896627000185.3629,924138249925.788,962449985006.192,993282533523.894,1022863027574.33,1061217602478.34,1100462922393.92,1120402839535.96,1142876772659.21,1169995189300.16,1212515734975.18,1243675644409.11,1276128831536.8,1307031702029.1,1343181238465.26,,,East Asia & Pacific,High income,Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.,Australia
12,Austria,AUT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,92232299993.2626,97340105690.3401,99918328844.6819,104053216655.30801,110425803718.66,114268814842.672,120716845700.159,124348066118.762,129909300574.534,138062235714.962,145719206532.065,153172698387.31,162681446550.02402,170637277635.537,177364034746.64,176718898455.46103,184809876726.225,194198183053.311,193789097740.99103,204169798094.452,207704968275.99698,207405261484.496,211576708882.031,217867070651.198,217978782543.024,223425371503.273,228567266816.617,231669308614.03198,239304851616.87802,248606810104.9,259410370977.008,268338309349.73,273956038186.697,275399264576.236,282014681958.786,289538787622.99603,296482837756.942,303020342559.79,313807766511.88,325073426890.886,336023225281.315,340561272971.019,346200473642.156,348818291289.69,358256418094.219,365925550885.24,378187098989.895,391883184200.116,397946651001.575,382828359077.476,390211866490.257,401169015436.419,404160757840.69104,404662820663.575,407272267948.545,411194537731.549,417283221574.656,,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Austria
13,Azerbaijan,AZE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22325675014.6271,22169395298.4412,17159111873.5004,13195357108.1839,10595871755.3639,9345558792.935879,9467051075.91296,10016140087.9139,11017754124.5694,11833067993.8748,13146538452.8659,14448045759.6996,15979538494.8706,17769246844.1912,19581710093.0734,24751281715.9126,33290473786.6938,41629404406.7868,46113899018.7892,50453518392.5171,52902703376.1056,52937578302.4383,54102205124.8452,57238335961.2495,58383102680.4744,59025316698.5034,57195531761.5917,,,Europe & Central Asia,Upper middle income,,Azerbaijan
14,Burundi,BDI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,596608253.670717,514597677.373498,561236477.601625,584445892.538846,621108404.900661,645749176.597434,675537540.239403,768907087.027305,766616638.3526349,755427553.105214,916527545.7054279,941702987.4784651,881396658.482324,942116521.310875,935268845.712752,941796276.24958,1016599961.55636,1133198416.79516,1122539824.57715,1141229606.95514,1152539828.31177,1292726423.68618,1279106260.4105,1326629240.55262,1328692732.80246,1485254991.58896,1533528459.0815,1617920004.19458,1699317953.86504,1722250287.54588,1782525984.41627,1871595892.56201,1890498980.4924102,1772531844.1247602,1704643874.55341,1569636079.67758,1444065193.28183,1421104556.7490802,1488607023.0819,1473572092.20535,1460945582.5604901,1490979805.70997,1557276512.30296,1538219684.2192302,1612571959.3767,1627085107.0572698,1714698065.64965,1796760633.5367699,1887463244.56885,1952928499.631,2026864469.3638802,2111823040.9798698,2196704928.3332896,2297622743.75537,2404713060.02967,2310810954.30977,2297241391.77883,,,Sub-Saharan Africa,Low income,,Burundi
15,Belgium,BEL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,120556600339.94301,126558417935.467,133154647119.52199,138948983813.889,148615226558.14,153906909246.114,158764049671.55402,164905276411.701,171821617462.785,183213046705.60397,194126937493.88,201864501972.132,212554447489.58603,226119039071.86,236441956772.93103,231793646111.757,244896351816.798,246429782107.205,253433061694.817,259366114671.589,270892485091.078,270135926692.145,271743200135.66898,272590611668.338,279313739194.219,283927423572.638,289102745107.736,295771360779.86304,309741260018.58,320486701039.831,330541658668.503,336600732883.81104,341752928113.708,338465698666.694,349387890223.987,357719943148.016,363420465333.69104,376904080280.284,384349864117.636,398044609540.077,412508919209.61206,415857023442.794,423260331398.524,426538475161.325,442042196190.318,451300703622.991,462579317138.06396,478295418104.937,481869644106.83,470858379177.385,483548693409.33704,492236274172.195,492910892151.77,492603566078.81396,500712724326.76294,508103539383.924,514165107093.155,,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Belgium
16,Benin,BEN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1265426252.94345,1305176840.54665,1260456133.0762599,1320076060.7892,1407871139.7750301,1482401906.79932,1535410564.13499,1551968411.17281,1611600246.49176,1657974010.96677,1692754286.41874,1667416432.2107,1774570740.64173,1840339265.9851,1901793938.89223,1808694555.93412,1824689860.7842898,1915626267.4681,1939668871.9268699,2066440729.96277,2206581860.81568,2426230120.12225,2480457972.9783697,2372612057.3104,2560756386.93725,2753589661.14604,2813373991.7136197,2771173298.8590198,2865538547.23059,2783751478.01027,3033624750.94295,3161819648.03392,3255337130.0753303,3445324207.02456,3514933552.72688,3727418268.32545,3888602421.28731,4111601652.35799,4274462692.87475,4502780953.5408,4766643561.74839,5020725247.663529,5253911326.863,5434858389.27325,5675602453.88052,5772744795.73959,6000595826.41589,6359822426.97484,6671033590.82541,6825749997.99683,6970240895.498879,7176751732.08258,7521973830.26825,8063036667.991309,8575645913.590891,8755259213.87036,9103831277.94119,,,Sub-Saharan Africa,Low income,,Benin
17,Burkina Faso,BFA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1120811786.71408,1166136608.12129,1237606774.3496,1221913717.82207,1249807799.06317,1296857380.8289099,1303829455.7774599,1418870435.39902,1462440738.93933,1492070973.4818,1493816989.12931,1514929700.39977,1549947281.35529,1556911619.2530699,1685923955.97753,1736474411.4191198,1884680678.60643,1891660660.55673,1978825073.48837,2051341522.81294,2067688230.00799,2155674637.4471,2361804484.82691,2369975967.92579,2327821283.9124,2526090319.1026897,2727049966.82507,2720604944.37292,2878280133.1290603,2940170848.9365897,2922443721.52739,3187508912.9465604,3194926589.2440004,3305515296.89289,3348983063.42876,3540423456.0699396,3930392031.64154,4178668400.7173204,4484033771.84056,4816039657.21809,4903703228.63079,5228004716.13786,5455579987.431379,5881248337.04976,6144638535.20599,6676878621.26332,7094394431.219541,7495582799.41617,8042347948.05677,8280563450.07509,8979966766.07232,9565619495.08764,10182857809.2713,10469470948.1163,10907717217.1568,11343810190.1629,12008749185.1799,,,Sub-Saharan Africa,Low income,,Burkina Faso
18,Bangladesh,BGD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,17862545310.7226,18944687033.1706,19977746684.2347,19886669277.8428,22064814112.6956,22419232005.0757,22994691542.7769,22563342420.6917,24704480424.0584,25006087027.2168,26411392182.3557,24964184430.4711,21475757025.4792,22189972024.4145,24318424444.0714,23324235189.0411,24644704390.5094,25303471152.2294,27093397642.2551,28394323597.912003,28626913390.8931,30697768187.1802,31352959198.5596,32569782092.7714,34134209697.98,35274979988.1662,36747139850.6845,38133389635.1624,39054790276.5184,40162611478.0515,42420657179.7908,43899113723.2774,46288404442.7889,48469311189.3945,50354828679.5772,52933639390.897995,55327785139.4964,57811945426.5395,60804885377.3372,63644568604.0114,67013463192.5145,70415929567.4442,73115059421.307,76580396941.519,80592852042.2251,85860356477.7026,91588846353.8372,98053769823.2911,103950517391.466,109194950718.059,115279077465.226,122731159566.449,130734992458.51,138596866823.802,146997351891.58,156629549345.307,167771375851.352,,,South Asia,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: FY.,Bangladesh
19,Bulgaria,BGR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,28567898146.9848,29967771396.1387,30667388675.8994,31719373922.907997,32796704575.6997,33676784707.6526,35093769776.0095,37218526923.6436,41291980086.2505,39933522637.8896,36292632791.0639,33227591026.6062,30811151715.1596,30355080478.4888,30906939253.716,31790936266.938,32299591235.2962,31944295760.0686,33062346058.1987,31207548452.1041,32771342925.1612,34163477849.7148,36219477716.4549,38058529754.9607,40553481999.7745,43488010218.2093,46424813785.3817,49988081046.8084,52810910665.6526,50582434409.9591,50610031135.7791,51579222347.1984,51595182819.3635,52039981143.4083,52731514288.3384,54639046566.9725,56520013255.6346,,,Europe & Central Asia,Upper middle income,The new reference year for chain linked series is 2010.,Bulgaria
20,Bahrain,BHR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,7624221103.47913,7218864341.89657,6673391235.87742,7098911806.391379,7454116226.230471,7099429359.04756,7183415176.43469,7930419191.027709,8485547872.1663,8516435872.133121,8894395055.67055,9893235511.911829,10555092806.0632,11913533954.1921,11883749942.4451,12350780310.4502,12858398136.4749,13256108363.4132,13891076323.6746,14488392461.1778,15256276507.3657,15636315475.986,16201435104.2376,17177401647.9676,18376546950.2211,19620444333.8462,20889606053.0421,22621864899.6304,24034629395.8269,24645054296.3673,25713271276.5957,26223377131.9619,27202099523.9053,28675502255.2549,29922841390.6393,30779223483.5898,,,,Middle East & North Africa,High income,,Bahrain
21,"Bahamas, The",BHS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1521943427.99479,1684290616.27604,1860332198.04688,2056114585.54688,2272038840.49479,2508912442.05729,2736519190.2343802,2999173418.09896,3251756712.23958,3543818527.99479,3343605201.5625,3397989232.4218802,3279150133.9843802,3527302077.21354,2936329807.03125,2501661196.74479,2631376957.16146,2872277655.0781302,3279552843.61979,4136804861.32813,4405501999.60938,3999032539.3229203,4266923640.3645797,4420407096.875,5046829556.38021,5290550045.70313,5385621242.05729,5546356149.86979,5674460762.76042,6056200452.60417,5959528408.20313,5710313764.71354,5491860987.63021,5508765316.79688,5682231719.79167,5931042520.70313,6181541921.22396,6309020119.79167,6606583402.34375,7078566304.6875,7372273462.239591,7565841873.69792,7770469865.88542,7672193265.625,7739929850.26042,8002723121.09375,8204140765.625,8322815484.375,8129378906.25,7789496093.75,7910000000.0,7958407552.08333,8203535156.25,8204565104.16667,8161307291.66667,8026384114.58333,8046983072.91667,,,Latin America & Caribbean,High income,,"Bahamas, The"
22,Bosnia and Herzegovina,BIH,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758501862.26045,3332270264.77958,6296580077.199161,8461947179.52191,9782010631.81418,10721083632.4237,11310743278.9328,11808415927.4057,12434262003.1151,12931632491.3659,13720462043.7462,14922131712.6024,15724715108.0111,16625545811.607,17536876413.625,17033588880.6122,17164279813.0968,17320174036.7035,17158544321.7986,17569352813.7062,17759431367.2378,18295041850.0711,18658686733.9338,,,Europe & Central Asia,Upper middle income,,Bosnia and Herzegovina
23,Belarus,BLR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31616193390.4655,31236799069.8621,28238066359.121002,26091973315.7026,23039212437.7608,20643134344.4153,21221142105.7815,23640352305.8701,25626141899.6294,26497430724.1628,28034281706.3079,29358987303.5886,30840226694.8019,33012363282.3727,36792194012.3338,40250660249.4931,44275726274.4425,48083438734.1059,52987949485.032005,53093925384.0254,57231904542.8755,60404676194.715,61450517456.8736,62079761417.9989,63149449097.5625,60731096387.1417,59122306886.0236,,,Europe & Central Asia,Upper middle income,"In July 2016 a new Belarusian ruble was introduced, at a rate of 1 new ruble = 10,000 old rubles. Local currency values in this database are in new rubels.",Belarus
24,Belize,BLZ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,98735541.365533,103565957.762842,108633079.85335699,114017406.9702,119718140.395677,125620892.346014,131614070.54936,138080431.93406498,148253128.666849,155823489.055951,163315004.59858102,169781365.98328602,187130141.821549,197145148.86138898,223878001.81392598,231921545.38438597,231842643.48665097,246904519.418383,266461350.316705,286491307.34512097,329942063.261618,334200426.637528,333254117.326075,326235727.913539,332623244.45177203,336171833.055644,351549202.47579104,390978186.607058,427095173.725132,483005526.28094405,534342136.074958,590432257.162776,661495254.210911,703014425.491375,704124757.186046,708659134.575871,718783908.2471241,744266083.396219,772108754.5820531,839902771.2698469,949415695.712415,997035187.469506,1048069026.2069199,1145817580.70996,1199103461.03176,1230025245.97225,1286391894.5353599,1300597659.2035902,1342587389.30728,1352161618.28356,1397113450.0,1426508029.6617599,1481068378.16398,1500530789.22083,1561767961.21965,1597679506.73704,1585237025.47684,,,Latin America & Caribbean,Upper middle income,,Belize
25,Bermuda,BMU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1236024650.8684402,1293870604.52905,1351706620.5515401,1366169881.39142,1517951355.21397,1590205839.7222302,1818617223.9731898,2060039383.2764199,2103408633.4506898,2175690717.0744,2313026675.95958,2392536967.94565,2435906218.11992,2472047259.93172,2493731885.01891,2587698593.72971,2819001261.3256803,2985250053.66029,3028619303.8345604,3093673179.09591,3339432263.4166,3418942555.40268,3238237346.34334,3303291221.60469,3319193280.00197,3252693763.06806,3469540013.93931,3599647764.4620104,3745657573.382,3762282452.61539,3763005273.45173,3630006239.58401,3627837777.07534,3736983723.34719,3759391169.2704897,3924772345.29896,4026835109.98094,4212069525.04015,4376340236.516721,4524376453.24803,4945919646.2653,5303135527.75517,5224766301.376229,5402967729.76868,5528385008.41416,5620941625.4668,5932559093.07918,6101393205.83452,6194616021.02816,5867281536.74729,5744414000.0,5552579615.57093,5284137923.53055,5151445059.9242,,,,,,North America,High income,,Bermuda
26,Bolivia,BOL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4818838337.92097,4919069386.41405,5193072636.16594,5526504333.00169,5791475875.63925,6117247421.40647,6514703077.073461,6964795309.0593,6117247421.40647,6306638235.980989,6275431642.47646,6593177851.70963,7118488339.85737,7527029870.882259,7748292041.93555,8314771040.5752,8698461748.91231,9130881078.736,9318310167.16052,9330735578.50441,9202739037.66105,9228103327.03294,8864632532.696291,8506313289.60134,8489243522.351041,8346930939.400821,8132091172.24542,8332423560.853709,8574855875.85557,8899853935.16865,9312432285.183641,9802873591.5169,9964277908.9969,10389682313.0627,10874596450.5412,11383340205.9752,11879806409.1738,12468356816.9483,13095434713.4455,13151337215.2619,13481147871.4736,13708143321.6724,14048868235.3697,14429780796.4839,15031978201.9893,15696607065.8374,16449574691.7853,17200380149.6269,18257962323.1053,18870882348.149,19649631308.1648,20672216340.1924,21731104039.6498,23207952413.94,24475238843.5128,25664047181.8707,26758341469.4947,,,Latin America & Caribbean,Lower middle income,,Bolivia
27,Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,247310662283.768,272724087204.403,286949537646.12604,289459406605.959,299548752460.682,308695437352.706,321507410025.781,337310353393.396,375855759983.656,412448426131.431,448619936451.118,499291947869.855,559470618996.975,637677291704.927,695336839630.648,731557463375.625,803179939606.989,840176962228.542,867329041465.823,926014995998.438,1010383853314.77,965994081544.0079,971599219248.2191,938469692479.6129,987919003993.558,1066417682240.15,1151606273747.92,1193059832519.37,1191834885557.38,1230920620284.1,1192733081196.32,1210766456799.68,1205113228273.05,1261333796878.11,1328620300413.35,1387301889795.79,1417927071892.86,1466066102038.4,1471026627286.84,1477926721688.56,1538707417435.78,1560093406615.63,1607727796810.37,1626072083722.29,1719731819479.5,1774799957640.26,1845115804308.01,1957111987492.35,2056813970746.82,2054224996031.67,2208871646202.82,2296661602101.93,2340783923763.47,2411121329014.44,2423272459244.85,2331933197388.04,2248106280710.07,,,Latin America & Caribbean,Upper middle income,,Brazil
28,Barbados,BRB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,3268655033.35784,3206550744.4465,3049429498.13928,3064676626.59485,3175005114.59106,3209930429.41191,3373636874.3323603,3461351326.46835,3582498740.27798,3711468635.2846103,3588990349.56757,3449019426.13134,3252424741.12606,3278444159.3592,3344013046.64723,3411671173.46939,3546987427.1137,3715119897.95918,3854082397.95918,3866641690.9621,4038825546.6472297,3943212864.43149,3974408527.6967897,4060703024.7813396,4117827551.02041,4281098360.05831,4523776311.95335,4603588593.29446,4621819825.07289,4435050983.96501,4446800000.0,4480426494.1691,4493796064.13994,4490554956.26822,4493390925.65598,4533904774.05248,4604804008.74636,,,Latin America & Caribbean,High income,,Barbados
29,Brunei Darussalam,BRN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,7076283755.04218,7101437330.39971,8532760029.33627,9464255592.2259,10105537880.4547,12385592665.9333,11519009534.2868,9235168243.49102,9600571983.865059,9648715584.89183,9706595966.2633,9561894976.164291,9302244591.125792,9489138760.54273,9593269453.612041,9490220608.72755,9593609020.9021,9895418335.16685,10366299816.6483,10397872753.9421,10724927172.7173,11205265273.193998,11527788412.1746,11358194866.1533,11294758342.5009,11639492115.8783,11971150348.3682,12299643564.3564,12775897689.769,13146904070.407,13213206307.2974,13264408434.1768,13847739933.9934,13869146021.2688,13600124165.7499,13360145141.1808,13707370737.0737,14220755408.8742,14350568390.1724,14045471213.788,13715438210.4877,13637697103.0436,13301457674.8771,,,East Asia & Pacific,High income,National accounts revision is based on data from the Asian Development Bank and the IMF. Data have been revised from 2010-2015; the new base year is 2010.,Brunei Darussalam
30,Bhutan,BTN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,165165439.14686102,188136200.88393,194559060.675521,216565078.84730402,226271753.35442597,235801810.57648197,263462722.66382098,339066684.688327,355976922.525405,382435357.411604,424030689.295613,422301169.504529,441730787.82885,450505180.615888,472811961.168546,506259233.805762,534433435.297499,563153025.102705,596458068.653373,644079113.976625,688733275.071953,745235395.4664639,825183060.874733,888427847.1193359,940813179.477384,1007823159.38045,1076852655.51349,1269887377.45454,1330440105.8777301,1419010481.1982,1585472534.10547,1710580806.57351,1797336501.23336,1835844373.82886,1941321989.27355,2067340393.8883102,2194821361.3201103,,,South Asia,Lower middle income,,Bhutan
