country_name_wb,country_name,iso_full_name,iso,numeric,,,
Burundi,Burundi,Burundi,BDI,108,,,
Cambodia,Cambodia,Cambodia,KHM,116,,,
Cameroon,Cameroon,Cameroon,CMR,120,,,
Canada,Canada,Canada,CAN,124,,,
Cabo Verde,Cabo Verde,Cabo Verde,CPV,132,,,
Cayman Islands,Cayman Islands,Cayman Islands,CYM,136,,,
Central African Republic,Central African Republic,Central African Republic,CAF,140,,,
,Chad,Chad,TCD,148,,,
,Chile,Chile,CHL,152,,,
China,"China, People's Republic of",China,CHN,156,,,
,Christmas Island,Christmas Island,CXR,162,,,
,Cocos (Keeling) Islands,Cocos (Keeling) Islands,CCK,166,,,
Colombia,Colombia,Colombia,COL,170,,,
Comoros,Comoros,Comoros,COM,174,,,
,"Congo, Republic of",Congo,COG,178,,,
D.R. of the Congo,"Congo, Dem. Rep. of the",Congo (Democratic Republic of the),COD,180,,,
Cook Islands,Cook Islands,Cook Islands,COK,184,,,
Costa Rica,Costa Rica,Costa Rica,CRI,188,,," 'Czechoslovakia (Former), Czechoslovakia (Former)',"
Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,CIV,384,,," 'D.P.R. of Korea, D.P.R. of Korea',"
Croatia,Croatia,Croatia,HRV,191,,,
Cuba,Cuba,Cuba,CUB,192,,,
Curaçao,Curaçao,Curaçao,CUW,531,,,
Cyprus,Cyprus,Cyprus,CYP,196,,,
Czech Republic,Czech Republic,Czech Republic,CZE,203,,,
Denmark,Denmark,Denmark,DNK,208,,,
Djibouti,Djibouti,Djibouti,DJI,262,,,
Dominica,Dominica,Dominica,DMA,212,,,
Dominican Republic,Dominican Republic,Dominican Republic,DOM,214,,,
Ecuador,Ecuador,Ecuador,ECU,218,,,
Egypt,Egypt,Egypt,EGY,818,,,
El Salvador,El Salvador,El Salvador,SLV,222,,,
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,GNQ,226,,," 'Ethiopia (Former), Ethiopia (Former)',"
Eritrea,Eritrea,Eritrea,ERI,232,,,
Estonia,Estonia,Estonia,EST,233,,,
Ethiopia,Ethiopia,Ethiopia,ETH,231,,," 'Former Netherlands Antilles, Former Netherlands Antilles',"
,Falkland Islands (Malvinas),Falkland Islands (Malvinas),FLK,238,,,
,Faroe Islands,Faroe Islands,FRO,234,,,
Fiji,Fiji,Fiji,FJI,242,,,
Finland,Finland,Finland,FIN,246,,,
France,France,France,FRA,250,,,
,French Guiana,French Guiana,GUF,254,,,
French Polynesia,French Polynesia,French Polynesia,PYF,258,,,
,French Southern Territories,French Southern Territories,ATF,260,,,
Gabon,Gabon,Gabon,GAB,266,,,
Gambia,"Gambia, The",Gambia,GMB,270,,,
Georgia,Georgia,Georgia,GEO,268,,,
Germany,Germany,Germany,DEU,276,,,
Ghana,Ghana,Ghana,GHA,288,,,
,Gibraltar,Gibraltar,GIB,292,,,
Greece,Greece,Greece,GRC,300,,,
Greenland,Greenland,Greenland,GRL,304,,,
Grenada,Grenada,Grenada,GRD,308,,,
,Guadeloupe,Guadeloupe,GLP,312,,,
,Guam,Guam,GUM,316,,,
Guatemala,Guatemala,Guatemala,GTM,320,,,
,Guernsey,Guernsey,GGY,831,,,
Guinea,Guinea,Guinea,GIN,324,,,
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,GNB,624,,,
,Guyana,Guyana,GUY,328,,,
Haiti,Haiti,Haiti,HTI,332,,,
,Heard Island and McDonald Islands,Heard Island and McDonald Islands,HMD,334,,,
,Holy See,Holy See,VAT,336,,,
Honduras,Honduras,Honduras,HND,340,,,
"China, Hong Kong SAR",Hong Kong SAR,Hong Kong,HKG,344,,,
Hungary,Hungary,Hungary,HUN,348,,,
Iceland,Iceland,Iceland,ISL,352,,,
India,India,India,IND,356,,,
Indonesia,Indonesia,Indonesia,IDN,360,,,
 'Iran (Islamic Republic of),Iran,Iran (Islamic Republic of),IRN,364,,,
Iraq,Iraq,Iraq,IRQ,368,,,
Ireland,Ireland,Ireland,IRL,372,,,
,Isle of Man,Isle of Man,IMN,833,,,
Israel,Israel,Israel,ISR,376,,,
Italy,Italy,Italy,ITA,380,,,
Jamaica,Jamaica,Jamaica,JAM,388,,,
Japan,Japan,Japan,JPN,392,,,
,Jersey,Jersey,JEY,832,,,
Jordan,Jordan,Jordan,JOR,400,,,
Kazakhstan,Kazakhstan,Kazakhstan,KAZ,398,,,
Kenya,Kenya,Kenya,KEN,404,,,
Kiribati,Kiribati,Kiribati,KIR,296,,,
D.P.R. of Korea,"Korea, Dem. People's Republic of",Korea (Democratic People's Republic of),PRK,408,,,
Republic of Korea,"Korea, Republic of",Korea (Republic of),KOR,410,,,
Kosovo,Kosovo,Kosovo,XKX,,,,
Kuwait,Kuwait,Kuwait,KWT,414,,,
Kyrgyzstan,Kyrgyz Republic,Kyrgyzstan,KGZ,417,,,
Lao People's DR,Lao P.D.R.,Lao People's Democratic Republic,LAO,418,,,
Latvia,Latvia,Latvia,LVA,428,,,
Lebanon,Lebanon,Lebanon,LBN,422,,,
Lesotho,Lesotho,Lesotho,LSO,426,,,
Liberia,Liberia,Liberia,LBR,430,,,
Libya,Libya,Libya,LBY,434,,,
Liechtenstein,Liechtenstein,Liechtenstein,LIE,438,,,
Lithuania,Lithuania,Lithuania,LTU,440,,,
Luxembourg,Luxembourg,Luxembourg,LUX,442,,,
"China, Macao SAR SAR",Macao SAR,Macao,MAC,446,,,
TFYR of Macedonia,FYR Macedonia,Macedonia (the former Yugoslav Republic of),MKD,807,,,
Madagascar,Madagascar,Madagascar,MDG,450,,,
Malawi,Malawi,Malawi,MWI,454,,,
Malaysia,Malaysia,Malaysia,MYS,458,,,
Maldives,Maldives,Maldives,MDV,462,,,
Mali,Mali,Mali,MLI,466,,,
Malta,Malta,Malta,MLT,470,,,
Marshall Islands,Marshall Islands,Marshall Islands,MHL,584,,,
,Martinique,Martinique,MTQ,474,,,
Mauritania,Mauritania,Mauritania,MRT,478,,,
Mauritius,Mauritius,Mauritius,MUS,480,,,
,Mayotte,Mayotte,MYT,175,,,
Mexico,Mexico,Mexico,MEX,484,,,
Micronesia (FS of),"Micronesia, Fed. States of",Micronesia (Federated States of),FSM,583,,,
Republica Moldava,Moldova,Moldova (Republic of),MDA,498,,,
Monaco,Monaco,Monaco,MCO,492,,,
Mongolia,Mongolia,Mongolia,MNG,496,,,
Montenegro,Montenegro,Montenegro,MNE,499,,,
Montserrat,Montserrat,Montserrat,MSR,500,,,
Morocco,Morocco,Morocco,MAR,504,,,
Mozambique,Mozambique,Mozambique,MOZ,508,,,
Myanmar,Myanmar,Myanmar,MMR,104,,,
Namibia,Namibia,Namibia,NAM,516,,,
Nauru,Nauru,Nauru,NRU,520,,,
Nepal,Nepal,Nepal,NPL,524,,,
Netherlands,Netherlands,Netherlands,NLD,528,,,
New Caledonia,New Caledonia,New Caledonia,NCL,540,,,
New Zealand,New Zealand,New Zealand,NZL,554,,,
Nicaragua,Nicaragua,Nicaragua,NIC,558,,,
Niger,Niger,Niger,NER,562,,,
Nigeria,Nigeria,Nigeria,NGA,566,,,
,Niue,Niue,NIU,570,,,
,Norfolk Island,Norfolk Island,NFK,574,,,
,Northern Mariana Islands,Northern Mariana Islands,MNP,580,,,
Norway,Norway,Norway,NOR,578,,,
Oman,Oman,Oman,OMN,512,,,
Pakistan,Pakistan,Pakistan,PAK,586,,,
Palau,Palau,Palau,PLW,585,,,
State of Palestine,"Palestine, State of","Palestine, State of",PSE,275,,,
Panama,Panama,Panama,PAN,591,,,
Papua New Guinea,Papua New Guinea,Papua New Guinea,PNG,598,,,
Paraguay,Paraguay,Paraguay,PRY,600,,,
Peru,Peru,Peru,PER,604,,,
Philippines,Philippines,Philippines,PHL,608,,,
,Pitcairn,Pitcairn,PCN,612,,,
Poland,Poland,Poland,POL,616,,,
Portugal,Portugal,Portugal,PRT,620,,,
Puerto Rico,Puerto Rico,Puerto Rico,PRI,630,,,
Qatar,Qatar,Qatar,QAT,634,,,
,Réunion,Réunion,REU,638,,,
Romania,Romania,Romania,ROU,642,,,
Russian Federation,Russian Federation,Russian Federation,RUS,643,,,
Rwanda,Rwanda,Rwanda,RWA,646,,,
,Saint Barthélemy,Saint Barthélemy,BLM,652,,,
,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",SHN,654,,,
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,659,,,
Saint Lucia,Saint Lucia,Saint Lucia,LCA,662,,,
,Saint Martin (French part),Saint Martin (French part),MAF,663,,,
,Saint Pierre and Miquelon,Saint Pierre and Miquelon,SPM,666,,,
St. Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,670,,,
Samoa,Samoa,Samoa,WSM,882,,,
San Marino,San Marino,San Marino,SMR,674,,,
Sao Tome and Principe,São Tomé and Príncipe,Sao Tome and Principe,STP,678,,,
Saudi Arabia,Saudi Arabia,Saudi Arabia,SAU,682,,,
Senegal,Senegal,Senegal,SEN,686,,,
Serbia,Serbia,Serbia,SRB,688,,,
Seychelles,Seychelles,Seychelles,SYC,690,,,
Sierra Leone,Sierra Leone,Sierra Leone,SLE,694,,,
Singapore,Singapore,Singapore,SGP,702,,,
Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),SXM,534,,,
Slovakia,Slovak Republic,Slovakia,SVK,703,,,
Slovenia,Slovenia,Slovenia,SVN,705,,,
Solomon Islands,Solomon Islands,Solomon Islands,SLB,90,,,
Somalia,Somalia,Somalia,SOM,706,,,
South Africa,South Africa,South Africa,ZAF,710,,,
,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,SGS,239,,,
,"South Sudan, Republic of",South Sudan,SSD,728,,,
Spain,Spain,Spain,ESP,724,,,
Sri Lanka,Sri Lanka,Sri Lanka,LKA,144,,," 'Sudan (Former), Sudan (Former)',"
Sudan,Sudan,Sudan,SDN,729,,," 'USSR (Former), USSR (Former)',"
Suriname,Suriname,Suriname,SUR,740,,,
,Svalbard and Jan Mayen,Svalbard and Jan Mayen,SJM,744,,," 'Yemen Arab Republic (Former), Yemen Arab Republic (Former)',"
Swaziland,Swaziland,Swaziland,SWZ,748,,," 'Yemen Democratic (Former), Yemen Democratic (Former)',"
Sweden,Sweden,Sweden,SWE,752,,," 'Yugoslavia (Former), Yugoslavia (Former)',"
Switzerland,Switzerland,Switzerland,CHE,756,,,
,Syria,Syrian Arab Republic,SYR,,,,
Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,SYR,760,,,
,Taiwan Province of China,"Taiwan, Province of China",TWN,158,,,
Tajikistan,Tajikistan,Tajikistan,TJK,762,,,
U.R. of Tanzania: Mainland,Tanzania,"Tanzania, United Republic of",TZA,834,,,
Thailand,Thailand,Thailand,THA,764,,,
Timor-Leste,Timor-Leste,Timor-Leste,TLS,626,,,
Togo,Togo,Togo,TGO,768,,,
,Tokelau,Tokelau,TKL,772,,,
Tonga,Tonga,Tonga,TON,776,,,
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,TTO,780,,,
Tunisia,Tunisia,Tunisia,TUN,788,,,
Turkey,Turkey,Turkey,TUR,792,,,
Turkmenistan,Turkmenistan,Turkmenistan,TKM,795,,,
Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,TCA,796,,,
Tuvalu,Tuvalu,Tuvalu,TUV,798,,,
,Uganda,Uganda,UGA,800,,,
,Ukraine,Ukraine,UKR,804,,,
United Arab Emirates,United Arab Emirates,United Arab Emirates,ARE,784,,,
United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GBR,826,,,
United States,United States,United States of America,USA,840,,,
,United States Minor Outlying Islands,United States Minor Outlying Islands,UMI,581,,,
Uruguay,Uruguay,Uruguay,URY,858,,,
Uzbekistan,Uzbekistan,Uzbekistan,UZB,860,,,
Vanuatu,Vanuatu,Vanuatu,VUT,548,,,
Venezuela (Bolivarian Replubc of),Venezuela,Venezuela (Bolivarian Republic of),VEN,862,,,
Viet Nam,Vietnam,Viet Nam,VNM,704,,,
British Virgin Islands,Virgin Islands (British),Virgin Islands (British),VGB,92,,,
,Virgin Islands (U.S.),Virgin Islands (U.S.),VIR,850,,,
,Wallis and Futuna,Wallis and Futuna,WLF,876,,,
,Western Sahara,Western Sahara,ESH,732,,,
Yemen,Yemen,Yemen,YEM,887,,,
Zambia,Zambia,Zambia,ZMB,894,,,
Zanzibar,,,,,,,
Zimbabwe,Zimbabwe,Zimbabwe,ZWE,716,,,
,,,,,,,
USSR (Former),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
