1,Afghanistan,,4,AFG,  5 501,Southern Asia,   935,Asia,No,,,"Total population: Estimated to be consistent with the 1979 census and 2003-05 Household listing, with the associated population by age and sex based on a 1/200 household sample from the 2003-05 Household listing, the 2007/08 National Risk and Vulnerability Assessment Survey, the 2011 MICS4 survey, the 2014 ALCS estimate (including 1.5 million nomads), and with  with estimates of the subsequent trends in fertility, mortality and international migration. The 2010 AMS sample was also considered. The 1979 census enumerated the settled population only; an attempt was made to adjusted for the number of Kuchi (nomads), reported to be about 800,000 at the times.",Population register,1-Jul-2004,"Total fertility: Based on adjusted age-specific fertility rates from: (a) the own-children method applied to the 2007/08 NRVA survey, 2010 Afghanistan Mortality Survey (AMS) and 2011 MICS; (b) maternity-history data and period parity progression ratios from the 2010 AMS and maternity-history from the 2015 DHS; (c) data on children ever born by age of mother from the 2000 and 2003 MICS; (d) data on children ever born and births in the preceding 24 or 36 months, both classified by age of mother, from the 2006 MOH Health Survey, 2007/08 and 2011/12 NRVA survey, and 2011 MICS; (e) reverse survival from the 1972/73 Afghanistan Demographic Survey (ADS), 1979 census, 2003/05 household listing, 2005 National Risk and Vulnerability Assessment (NRVA) survey, 2006 MOH Health Survey; births in the preceding 12 months to the 1979 census classified by age of mother; data on children ever born and births in the preceding 12 months, both classified by age of mother, from the 1972/73 ADS; and (h) cohort-completed fertility from these surveys and censuses. Reproductive health studies conducted in Afghan refugee settlements in Pakistan were also considered.","Life expectancy at birth: Estimated using the West model of the Coale-Demeny Model Life Tables and three parameters: (1-2) direct and indirect estimates of infant and child mortality, and (3) adjusted estimates of adult mortality (45q15). Adjusted estimates of adult mortality were derived from: (a) recent household deaths data from the 1979 census; (b) implied relationship between child mortality and adult mortality based on the UN South Asian and West model of the Coale-Demeny Model Life Tables; and (c) levels of adult mortality based on sample registration data from neighbouring countries for recent years. Estimates of adult mortality derived from (i) recent household deaths data from the 2010 Afghanistan Mortality Survey (AMS), (ii) parental orphanhood from the 2010 AMS (excluding the Southern region), and (iii) siblings deaths from the 2010 AMS (excluding the Southern region) adjusted for age misreporting and recall biases were also considered.","Infant and child mortality: Based on: (a) data on births and infant deaths in the past 12 months adjusted for underreporting from the 1979 census and 2010 AMS; (b) data on births and deaths under-five calculated from maternity-history data from the 2010 AMS (excluding the Southern region) adjusted for underreporting of neonatal deaths and the 2015 DHS adjusted for underrerporting of neonatal deaths; and (c) data on children ever born and surviving produced by the 1972/73 Afghanistan Demographic Survey, 1997 Afghanistan MICS, 2006 MOH Health survey, 2007/08 National Risk and Vulnerability Assessment Survey, and the 2011 MICS survey (excluding the Southern region). Indirect estimates from the 2000 and 2003 Afghanistan MICS, were also considered.","International migration: Based on UNHCR statistics on the number of Afghan refugees in the main countries of asylum (Pakistan, Iran and India) and on assumptions about the subsequent return of refugees.",,,,
2,Albania,,8,ALB,   925,Southern Europe,   908,Europe,No,,,"Total population: Estimated to be consistent with the 1950, 1955, 1989, 2001 and 2011 censuses, with official population estimates through 2015, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jan-2015,"Total fertility: Based on: (a) official estimates of total fertility through 2015 and estimates from the 2002 Reproductive Health Survey and the 2008/09 Demographic and Health Survey, (b) indirect estimates obtained from the application of the own-children method of fertility estimation to the 2005 Multiple Indicator Cluster Survey (MICS), and (c) indirect estimates obtained from the application of the reverse survival method to the 1955, 1989, 2001 and 2011 censuses, and the 2000 MICS.",Life expectancy at birth: Based on life tables for 1987-2015 derived from registered deaths by age and sex and observed trends in infant and child mortality.,"Infant and child mortality: Based on: (a) direct estimates from the 2002 Reproductive Health Survey (RHS) and the 2008/09 Demographic and Health Survey (DHS); (b) data on children ever born and surviving from the 2000 and 2005 Albania Multiple Indicator Cluster Survey (MICS), the 2008/09 DHS and the 2011 census.","International migration: Based on estimates of immigration of Albanians to Greece, Italy and the rest of Europe and estimates of net international migration derived as the difference between overall population growth and natural increase.",,,,
3,Algeria,,12,DZA,   912,Northern Africa,   903,Africa,No,,,"Total population: Estimated to be consistent with the 1966, 1977, 1987, 1998 and 2008 censuses, and with estimates of the subsequent trends in fertility, mortality and international migration.",Census,16-Apr-2008,"Total fertility: Based on: (a) official estimates of total fertility derived from births registered from 1980 to 2015; (b) number of births in the household in the preceding 12 months from the 1987 census; (c)  estimates from the 1992 PAPCHILD, 2002 Enquête Algérienne sur la Santé de la Famille (EASF) and 2006 and 2012-2013 Multiple Indicator Cluster Survey (MICS); and (d) indirect estimates obtained from the application of the reverse survival method to the 1966, 1977, 1987, 1998 and 2008 censuses, and the 2006 and 2012-2013 MICS.","Life expectancy at birth: Based on official estimates of life expectancy derived from the number of deaths registered through 2015. Estimates were adjusted for under-reporting of deaths and deaths of non-nationals. From 1950 to 2000, the age patterns of mortality are derived from estimates of infant and child mortality by assuming that the age pattern of mortality conforms to the mortality patterns resulting from the blending from the South model of the Coale-Demeny Model Life Tables to the West model of the Coale-Demeny Model Life Tables from 1950 to 2000.","Infant and child mortality: Based on: (a) births and infant deaths registered through 2015 (estimates from 1998 to 2001 were revised by the National Statistical Office of Algeria); (b) recent household deaths from the 1995 Enquête Nationale sur les objectifs de la mi-décennie ""MDG en Algérie""; and (c) data on children ever born and surviving from the 2000, 2006 and 2012-2013 Algeria Multiple Indicator Cluster Survey (MICS).","International migration: Based on data on: (a) the number of Algerians admitted by France, (b) estimates of emigration of Algerians to other Arab countries, (c) UNHCR statistics on the number of refugees in Algeria, and (d) estimates of net international migration derived as the difference between overall population growth and natural increase.",,,,
4,American Samoa,,16,ASM,   957,Polynesia,   909,Oceania,Yes,,,"Total population: Estimated to be consistent with the 1950, 1956, 1960, 1970, 1974, 1980, 1990, 2000 and 2010 censuses, and with estimates of the subsequent trends in fertility, mortality and international migration. Estimates of the Secretariat of the Pacific Community were also taken into account.",Census,1-Apr-2010,Total fertility: Based on: (a) official estimates of total fertility through 2013; (b) registered births by age of mother through 2014 and underlying female population by age; and (c) estimates from the National Center for Health Statistics (US) for the 2010 census and from the Secretariat of the Pacific Community were also taken into account.,"Life expectancy at birth: Based on: (a) infant and child mortality estimates; (b) parental survivorship (orphanhood) data by age of respondent from the 2000 census, assuming that the age pattern of mortality conforms to the West model of the Coale-Demeny Model Life Tables. Estimates of the Secretariat of the Pacific Community were also considered.","Infant and child mortality: Based on: (a) births and infant deaths registered through 2014, and (b) data on children ever born and surviving classified by age of mother from the 2000 and 2010 censuses.",International migration: Based on estimates of net international migration derived as the difference between overall population growth and natural increase during the 2000-2010 intercensal period.,,,,
5,Andorra,,20,AND,   925,Southern Europe,   908,Europe,Yes,,,"Total population: Estimated to be consistent with official population estimates through 2015, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jul-2015,Total fertility: Based on estimates of total fertility from 2000 to 2015.,Life expectancy at birth: Based on estimates of life expectancy produced by WHO-GBD for 2012.,Infant and child mortality: Based on registered births and infant and child deaths from 1992 through 2007.,International migration: Based on estimates of net international migration derived as the difference between overall population growth and natural increase.,,,,
6,Angola,,24,AGO,   911,Middle Africa,   903,Africa,No,,,"Total population: Estimated to be consistent with the 1970 and 2014 censuses, adjusted for underenumeration, and with estimates of the subsequent trends in fertility, mortality and international migration.",Census,16-May-2014,"Total fertility: Based on: (a) data on children ever born from the 1996 and 2001 Angola Multiple Indicator Cluster Surveys (MICS), (b) maternity-history data from the 2006/07 and 2011 Angola Malaria Indicator Surveys, and (c)  preliminary results from the 2015-16 DHS.  Official estimates from the 2014 census were also considered.",Life expectancy at birth: Based on official estimates of life expectancy at birth derived with data from the 2014 census. Prior estimates have been derived from estimates of infant and child mortality by assuming that the age pattern of mortality conforms to the North model of the Coale-Demeny Model Life Tables.,"Infant and child mortality: Based on: (a) data from the 1996 and 2001 Angola Multiple Indicator Cluster Surveys (MICS);  and (b) 2008/09 Inquérito Integrado sobre o Bem-Estar da População (2008/09 IBEP).  Estimates of child mortality from the 2006/07, 2011 Angola Malaria Indicator Survey, and preliminary results from the 2015-2016 Inquerito de indicadores multiplos e de saude (IIMS) were also considered.   For the more recent years,  estimates are derived from the official life expectancy at birth estimates by assuming that the age pattern of mortality conforms to the North model of the Coale-Demeny Model Life Tables.","International migration: Based on: (a) refugee statistics compiled by UNHCR, and (b) estimates derived as the differences between overall population growth and natural increase through 2014.",,,,
7,Anguilla,,660,AIA,   915,Caribbean,   904,Latin America and the Caribbean,Yes,,,"Total population: Estimated to be consistent with the 1960, 1974, 1984, 1992,  2001 and 2011 censuses, and the assumed subsequent trend in the growth rate of the population.",Census,11-May-2011,Total fertility: Based on official registration data of births by sex.,Life expectancy at birth: Based on registered deaths by age and sex.,"Infant and child mortality: Based on official estimates of infant mortality from 1985, and (b) deaths by age and sex from 1985 to 2013. Estimates before 1985 are based on model life tables.",International migration: Based on: (a) estimates of net international migration derived as the difference between overall population growth and natural increase; and (b) recent estimates from PAHO were also considered.,,,,
8,Antigua and Barbuda,,28,ATG,   915,Caribbean,   904,Latin America and the Caribbean,No,,,"Total population: Estimated to be consistent with the 1960, 1970, 1991, 2001 and 2011 censuses, and with estimates of the subsequent trends in fertility, mortality and international migration.",Census,27-May-2011,Total fertility: Based on registered birth from 1972 to 2001.,Life expectancy at birth: Based on official estimates of life expectancy from 2000 to 2010.,Infant and child mortality: Based on births and infant and child deaths registered from 1950 to 2010.,International migration: Based on estimates of net international migration derived as the difference between overall population growth and natural increase.,,,,
9,Argentina,,32,ARG,   931,South America,   904,Latin America and the Caribbean,No,,,"Total population: Estimated to be consistent with the 1960, 1970, 1980, 1991, 2001 and 2010 censuses, with official population estimates through 2016, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jul-2016,"Total fertility: Based on: (a) registered births classified by age of mother from 1950 through 2014; (b) estimates from the 2011/12 MICS; and (c) estimates from 1960, 1970, 1980, 1991, 2001 and 2010 censuses.","Life expectancy at birth: Based on registered deaths from 1950 through 2013, and the underlying population from censuses, and revised projections by the National Statistics Office (INDEC). The number of deaths was adjusted using the growth-balance method.",Infant and child mortality: Based on births and infant deaths registered from 1950 through 2013 and the underlying population in the 2001 and 2010 censuses and revised projections by the National Statistics Office (INDEC).,"International migration: Based on: (a) information on foreign-born populations from censuses and registers from the Latin American countries, Spain and United States of America, (b) estimates derived as the differences between overall population growth and natural increase.",,,,
10,Armenia,,51,ARM,   922,Western Asia,   935,Asia,No,,,"Total population: Estimated to be consistent with the 2011 census, with official population estimates through 2015 adjusted to reflect de facto population, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jan-2015,"Total fertility: Based on: (a) births registered through 2015 classified by age of mother, and (b) maternity-history data from the 2000, 2005, 2010 and 2015 Armenia Demographic Health Surveys (DHS).","Life expectancy at birth: Based on: (a) a life table derived from reported deaths by age and sex in 2011 and the 2011 census population, adjusted for underreporting of infant and child deaths, and (b) official estimates of life expectancy available from 2006 through 2015.","Infant and child mortality: Based on maternity-history data from the 2000, 2005, and 2010 Armenia Demographic Health Surveys (DHS). Preliminary data from the 2015 DHS were also considered.",International migration: Based on official estimates of international migration and estimates derived as the difference between overall population growth and natural increase through 2015.,,,,
11,Aruba,,533,ABW,   915,Caribbean,   904,Latin America and the Caribbean,No,,,"Total population: Estimated to be consistent with 1960, 1981, 1991, 2000, and 2010 censuses, with official population estimates for 2015.",Official estimate,1-Jul-2015,Total fertility: Based on official estimates of total fertility available from 2000 to 2015.,"Life expectancy at birth: Based on: (a) official estimates of life expectancy for 1972, 1981, 1991, 2000, and 2011; and (b) registered deaths by age and sex from 2002 to 2015.",Infant and child mortality: Based on official estimates of infant and child mortality through 2013.,International migration: Based on estimates of net international migration derived as the difference between overall population growth and natural increase.,,,,
12,Australia,1,36,AUS,   927,Australia/New Zealand,   909,Oceania,No,,,"Total population: Estimated to be consistent with official population estimates through 2015, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jul-2015,Total fertility: Based on official registration data of births by age of mother through 2014.,Life expectancy at birth: Based on official estimates of life expectancy available through 2012-2014 and reported deaths through 2015. The age pattern of mortality is based on life tables through 2011 from the Human Mortality Database.,Infant and child mortality: Based on births and infant deaths registered through 2014.,International migration: Based on official estimates of international migration and estimates derived as the difference between overall population growth and natural increase through 2015.,,,,
13,Austria,,40,AUT,   926,Western Europe,   908,Europe,No,,,"Total population: Estimated to be consistent with the 1951, 1961, 1971, 1981, 1991, 2001 and 2011 censuses, with official population estimates through 2015, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jan-2015,Total fertility: Based on official estimates of total fertility through 2015.,Life expectancy at birth: Based on official estimates of life expectancy available through 2015.The age pattern of mortality is based on life tables through 2014 from the Human Mortality Database.,Infant and child mortality: Based on births and infant deaths registered through 2015.,"International migration: Based on: (a) official figures of net international migration flows from 1961 to 2015 and officially assumed subsequent trends in international migration, and (b) and estimates of net international migration derived as the difference between overall population growth and natural increase.",,,,
14,Azerbaijan,2,31,AZE,   922,Western Asia,   935,Asia,No,,,"Total population: Estimated to be consistent with the 1959, 1970, 1979, 1989, 1999 and 2009 censuses, with official population estimates through 2015, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jan-2015,Total fertility: Based on: (a) births registered through 2015 classified by age of mother adjusted for underregistration to achieve consistency with the 1999 and 2009 censuses; (b) maternity-history data from the 2001 Azerbaijan Reproductive Health Survey and the 2006 Azerbaijan Demographic Health Survey.,Life expectancy at birth: Based on deaths registered through 2015 classified by age and sex and the underlying population by age and sex. Death rates were adjusted for underregistration.,"Infant and child mortality: Based on: (a) maternity-history data from the 2001 RHS and 2006 Azerbaijan DHS, and (b) data on children ever born and surviving from the 2000 Azerbaijan MICS and the 1989 census. Official estimates from vital registration were considered.",International migration: Based on official estimates of international migration and estimates derived as the difference between overall population growth and natural increase through 2013.,,,,
15,Bahamas,,44,BHS,   915,Caribbean,   904,Latin America and the Caribbean,No,,,"Total population: Estimated to be consistent with the 2010 census, and with estimates of the subsequent trends in fertility, mortality and international migration.",Census,3-May-2010,Total fertility: Based on official registration data of births by age of mother through 2011.,Life expectancy at birth: Derived from child and adult mortality estimates through 2013 by assuming that the age pattern of mortality conforms to the West model of the Coale-Demeny Model Life Tables.,Infant and child mortality: Based on births and infant deaths registered from 1965 to 2013.,International migration: Based on estimates of net international migration derived as the difference between overall population change and natural increase during the 1950-2010 intercensal period.,,,,
16,Bahrain,,48,BHR,   922,Western Asia,   935,Asia,No,,,"Total population: Estimated to be consistent with the 1959, 1965, 1971, 1981, 1991, 2001 and 2010 censuses, with official population estimates for 1985, 1990, 1995, 2005, 2015 and 2016,  and with estimates of the subsequent trends in fertility, mortality and international migration.",Population register,1-Jul-2016,Total fertility: Based on annual births registered from 1977 through 2014 classified by age of mother.,"Life expectancy at birth: Based on life tables derived from official estimates of registered deaths and enumerated census population by age and sex from 1980 to 2014, adjusted for infant and child mortality. Mortality rates for older ages were adjusted. For the period 1950-1980, life tables were derived from estimates of infant and child mortality by assuming that the age pattern of mortality conforms to the South model of the Coale-Demeny Model Life Tables in 1950-1955, and converges over time toward the estimated 1980-1985 life table.","Infant and child mortality: Based on: (a) births and infant deaths registered from 1980 through 2014 adjusted for underregistration, (b) births and deaths under-five calculated from maternity-history data from the 1989 CHS and 1995 GFH surveys; and (c) data on children ever-born and surviving classified by age of mother (and using the West model of the Coale-Demeny Model Life Tables) from these surveys, as well as from the 1965, 1971, 1981 1991 and 2001 censuses.",International migration: Based on estimates of net international migration derived as the difference between overall population growth and natural increase through 2015.,,,,
17,Bangladesh,,50,BGD,  5 501,Southern Asia,   935,Asia,No,,,"Total population: Estimated to be consistent with the 1961, 1974, 1981, 1991, 2001 and 2011 censuses, adjusted for underenumeration, and with estimates of the subsequent trends in fertility, mortality and international migration. Annual total population estimates from the Sample Vital Registration System through 2014 were also considered, as well as the 2008 voter registration for adults age 18 and over.",Population register,1-Jul-2014,"Total fertility: Based on: (a) adjusted data from the Sample Vital Registration System for age-specific fertility rates through 2015; (b) maternity-history data from the 1975 and 1989 Bangladesh Fertility Survey, the 1993/94, 1996/97, 1999/00, 2004, 2007, 2011 and 2014 DHS, 2001 Bangladesh Maternal Health Services and Maternal Mortality Survey and 2010 BMMS; (c) births in the preceding 12 (or 24) months classified by age of mother from the 1961/62 Demographic Survey of East Pakistan, the 1963/65 Population Growth Estimation (PGE) experiment, the 1985, 1989, 1991 CPS and the 2006 MICS3 and 2012/13 MICS; (d) data on children ever born and recent births, both classified by age of mother, from these surveys ; and (e) the own-children method applied to the 1974 Bangladesh Retrospective Survey of Fertility and Mortality.","Life expectancy at birth: Based on life tables derived from age and sex-specific mortality rates from: (a) the Sample Vital Registration System from 1981 up to 2015 adjusted for infant and child mortality, (b) the 1974 Retrospective Survey of Fertility and Mortality, and (c) the 1962/65 Population Growth Estimation Experiment. Estimates are consistent with those from the 2001 and 2010 Bangladesh Maternal Mortality Surveys (based on sibling histories and household deaths in the preceding 36 months), and data gathered from Matlab Health and Demographic Surveillance System up to 2012. For the period 1970-1975, mortality was adjusted to take into account the excess mortality associated with the 1971 civil war and independence from Pakistan, and the 1974 flood and famine.","Infant and child mortality: Infant mortality: Derived from the child mortality rates using the West model of the Coale-Demeny Model Life Tables, and are consistent with national estimates. Child mortality estimates are based on: (a) adjusted data from the Sample Vital Registration System from 1980 through 2015, (b) data on children ever-born and surviving classified by age of mother (and the West model of the Coale-Demeny Model Life Tables), and (c) data on births and deaths under-five calculated from maternity-history data from the 1993/94, 1996/97, 1999/00, 2004, 2007, 2011and 2014 DHS, 2001 Bangladesh Maternal Health Services and Maternal Mortality Survey, 2009 MICS and 2012/13 MICS (preliminary) and earlier ones. Levels and trends since the mid-1980s are consistent with under-five mortality estimates based on the 2001 BMMS sibling history and data gathered from Matlab Health and Demographic Surveillance System up to 2005.","International migration: Based on: (a) data on persons originating in Bangladesh and migrating to selected developed countries, (b) he number of persons born in Bangladesh enumerated by the censuses of India, and (c) information on the number of workers receiving clearances to work abroad.",,,,
18,Barbados,,52,BRB,   915,Caribbean,   904,Latin America and the Caribbean,No,,,"Total population: Estimated to be consistent with the 2010 census, and with estimates of the subsequent trends in fertility, mortality and international migration.",Census,2-May-2010,"Total fertility: Based on: (a) births registered through 2007, (b) estimate from the 2010 census and (c) estimates from the 2012 Multiple Indicator Cluster Survey.",Life expectancy at birth: Derived from estimates of child mortality and adult mortality from vital registration data through 2007 by assuming that the age pattern of mortality conforms to the West model of the Coale-Demeny Model Life Tables.,Infant and child mortality: Based on: data on vital registration from 1955 to 2011.,International migration: Based on estimates of net international migration derived as the difference between overall population change and natural increase during the 1950-2010 intercensal period.,,,,
19,Belarus,,112,BLR,   923,Eastern Europe,   908,Europe,No,,,"Total population: Estimated to be consistent with the 1959, 1970, 1979, 1989, 1999 and 2009 censuses, with official population estimates through 2016, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jan-2016,Total fertility: Based on official estimates of total fertility available through 2015.,Life expectancy at birth: Based on official life tables available through 2015.,"Infant and child mortality: Based on births and infant deaths registered through 2014, adjusted by a factor of 1.25 to compensate for infant deaths omitted owing to the use of a definition of infant death that does not conform to international standards.",International migration: Based on official estimates of international migration and estimates derived as the difference between overall population growth and natural increase through 2015.,,,,
20,Belgium,,56,BEL,   926,Western Europe,   908,Europe,No,,,"Total population: Estimated to be consistent with official population estimates through 2015, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jan-2015,Total fertility: Based on official estimates of total fertility available through 2014.,Life expectancy at birth: Based on official estimates of life expectancy available through 2015.,Infant and child mortality: Based on births and infant deaths registered through 2015.,International migration: Based on official estimates of international migration by sex available through 2014 and estimates of net international migration derived as the difference between overall population growth and natural increase.,,,,
21,Belize,,84,BLZ,   916,Central America,   904,Latin America and the Caribbean,No,,,"Total population: Estimated to be consistent with the 1960, 1970, 1980, 1991, 2000 and 2010 censuses, with official estimates of the 2015 population, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jul-2015,"Total fertility: Based on: (a) estimate of total fertility from the 2011 and 2015 Multiple Indicator Cluster Survey (MICS), (b) official estimates from the National Statistics Office from 2005 through 2008, and (c) births registered through 2011 classified by age of mother.","Life expectancy at birth: Estimated using the West model of the Coale-Demeny Model Life Tables and two parameters: (a) estimates of child mortality; and (b) adjusted estimates of adult mortality from registered deaths and underlying population through 2009. From 1950 to 1995, estimated using adjusted registered deaths by age and sex and underlying population by age and sex.","Infant and child mortality: Based on: (a) adjusted births and infant deaths registered through 2014; (b) estimates from the 2006, 2011 and 2015 Multiple Indicator Cluster Survey (MICS); (c) estimates from 1991 and 1999 Family Health Surveys; and (d) results from the 2000 census.",International migration: Based on estimates of net international migration derived as the difference between overall population growth and natural increase during the 1970-2010 intercensal periods. Data from CARICOM countries were considered.,,,,
22,Benin,,204,BEN,   914,Western Africa,   903,Africa,No,,,"Total population: Estimated to be consistent with the 1979, 1992 and 2002 censuses, with preliminary results of the 2013 census, and with estimates of the subsequent trends in fertility, mortality and international migration.",Census - preliminary,18-May-2013,"Total fertility: Based on: (a) maternity-history data from the 2011/12 DHS-MICS, adjusted for underreporting, the 2014 MICS, the 1996, 2001 and 2006 DHS, the 1982 WFS; (b) data on children ever born and births in the preceding 12 months, both classified by age of mother, and from the 1961 Demographic Survey and the 1992 and 2002 censuses; and (c) cohort-completed fertility from these surveys and censuses.","Life expectancy at birth: Estimated using the North model of the Coale-Demeny Model Life Tables and implied relationships between life expectancy at birth and estimates of infant and child mortality, and between life expectancy at birth and estimates of adult mortality (45q15).","Infant and child mortality: Based on: (a) data on births and deaths under-five calculated from maternity-history data from the 1981/82 WFS, 1996, 2001 and 2006 DHS, and preliminary results of the 2014 MICS; (b) data on children ever-born and surviving classified by age of mother (and the North model of the Coale-Demeny Model Life Tables),  from the 1961 Demographic Survey, 1981/83 multi-round survey (Enquête Nationale Démographique) and the 1992 and 2002 censuses. Results from the 2011/12 DHS were also considered.","International migration: Based on official statistics on the foreign-born or the foreign populations in all countries of the world, and estimates derived as the difference between overall population growth and natural increase during the intercensal periods.",,,,
23,Bermuda,,60,BMU,,,   905,Northern America,Yes,,,"Total population: Estimated to be consistent with the 1950, 1960, 1970, 1980, 1991, 2000 and 2010 censuses, official estimates through 2016, and with estimates of trends in fertility, mortality and international migration.",Official estimate,1-Jul-2016,,,,,,,,
24,Bhutan,,64,BTN,  5 501,Southern Asia,   935,Asia,No,,,"Total population: Estimated to be consistent with the 2005 census, and with estimates of the subsequent trends in fertility, mortality and international migration.",Census,30-May-2005,"Total fertility: Based on: (a) adjusted births in the preceding 12 (or 24) months classified by age of mother from the 1980 and 1984 Demographic Sample Surveys, 1994 Health Sample Survey, 2000 and 2012 National Health Surveys, 2005 census, 2007 Bhutan Living Standard Survey, 2010 MICS4, and 2012 LSS; (b) reverse survival from the 2005 census; (c) the own-children method applied to the 2010 MICS4 survey; and (d) cohort-completed fertility from these surveys and census.","Life expectancy at birth: Based on a life table derived from adjusted deaths in the past 12 months by age and sex, and the population by age and sex from the 2005 census, adjusted for infant and child mortality. For 1950-2000, life tables were derived from estimates of infant and child mortality by assuming that the age pattern of mortality conforms to the West model of the Coale-Demeny Model Life Tables in 1950-1955 and converges over time toward the estimated 2000-2005 life table. Life tables based on adjusted annual deaths from the 1994 National Health Survey were also considered.","Infant and child mortality: Infant mortality: Derived from child mortality rates using the West model of the Coale-Demeny Model Life Tables. Child mortality: Based on: (a) data on births and infant deaths in the past 24 months from the 1994 Health Sample Survey, the past 12 months from the 2000 National Health Survey and the 2005 census (adjusted for underreporting); (b) data on children ever born and surviving classified by age of mother (and the West model of the Coale-Demeny Model Life Tables) from the 1984 Demographic Sample Survey, 2005 census, and 2010 MICS4; and (c) data on births and deaths under-five calculated from maternity-history data from the 2012 NHS.",International migration: Based on refugee statistics compiled by UNHCR.,,,,
25,Bolivia (Plurinational State of),,68,BOL,   931,South America,   904,Latin America and the Caribbean,No,,,"Total population: Estimated to be consistent with the 1950, 1976, 1992, 2001 and 2012 censuses, adjusted for underenumeration, with official estimates through 2016, and with estimates of the subsequent trends in fertility, mortality and international migration.",Official estimate,1-Jul-2016,"Total fertility: Based on: (a) maternity-history data from the 1989, 1998, 2003 and 2008 Bolivia DHS, (b) estimates from the 2001 and the 2012 censuses, (c)  official estimates of total fertility through 2011, and (d) estimate from the 1975 and 1980 National Demographic Survey (EDEN).","Life expectancy at birth: Based on life tables derived from: (a) deaths by age and sex, adjusted using the growth-balance method, and underlying population from the 1992, 2001 and 2012 censuses; (b) data on maternal orphanhood from the 1988 National Population and Housing Survey (ENPV); (c) official estimates of life expectancy for 2010 and 2011; and (d) estimates of infant and child mortality from the 2000 MICS and the 1989, 1994, 1998, 2003 and 2008 DHS.","Infant and child mortality: Based on: (a) estimates from the 1989, 1993/04, 1998, 2003, and 2008 DHS; (b) estimates from the 1976, 1992, 2001 and 2012 censuses; and (c) estimates from the 2000 MICS, the 1988 National Population and Housing Survey (ENPV), and the 1975 and 1980 National Demographic Survey (EDEN).","International migration: Based on: (a) information on foreign-born populations from censuses and registers from the Latin American countries, Spain (Padrón Municipal) and United States of America, and (b) estimates derived as the differences between overall population growth and natural increase through 2012.",,,,
26,Bosnia and Herzegovina,,70,BIH,   925,Southern Europe,   908,Europe,No,,,"Total population: Estimated to be consistent with the 1971, 1981, 1991 and 2013 censuses, adjusted to show the de facto population, and with estimates of subsequent trends in fertility, mortality and international migration.",Official estimate,30-Sep-2013,Total fertility: Based on: (a) official estimates of age specific fertility rates available through 2015; (b) births in the preceding 12 months classified by age of mother from the 2011/12 Multiple Indicator Cluster Survey (MICS); and (c) indirect estimates obtained from the application of the reverse survival method to the 2011/12 MICS.,Life expectancy at birth: Based on official estimates of life expectancy for 1988/89 and WHO estimates for years 2000 to 2012. The estimates of war-related deaths in the period 1992-1995 were also considered.,Infant and child mortality: Based on registered births and infant deaths through 2012.,"International migration: Based on: (a) refugee statistics compiled by UNHCR, (b) data on migration flows to OECD countries, and (c) estimates of net international migration derived as the difference between overall population growth and natural increase during the intercensal period.",,,,
